name,male,female,related
Aaliyah,1,1,"Alaiya,Alaya,Alayah,Aleah"
Aamir,1,1,"'Aamir,Amir"
Aaren,1,1,"Aaron,Arron"
Aaron,1,1,"Aaro,Arron"
Abbas,1,0,'Abbas
Abbe,0,1,Aldert
Abbey,1,1,"Abbi,Abbie,Abby,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
Abbi,0,1,"Abbey,Abbie,Abby,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
Abbie,1,1,"Abbey,Abbi,Abby,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
Abby,1,1,"Abbey,Abbi,Abbie,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
Abdallah,1,0,
Abdias,1,0,
Abdiel,1,0,
Abdoulaye,1,0,
Abdul,1,0,Abduh
Abdulaziz,1,0,
Abdullah,1,0,"Abd Allah,Abdulla"
Abdulrahman,1,0,
Abdurrahman,1,0,
Abe,1,0,"Abraham,Aldert,Bram"
Abegail,0,1,"Abbey,Abbi,Abbie,Abby,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
Abel,1,1,
Abena,0,1,
Abhay,1,0,
Abhinav,1,0,
Abhishek,1,0,
Abi,1,1,
Abiel,1,1,
Abigail,1,1,"Abbey,Abbi,Abbie,Abby,Abigayle,Gail,Gale,Gayla,Gayle"
Abigayle,1,1,"Abbey,Abbi,Abbie,Abby,Abigail,Gail,Gale,Gayla,Gayle"
Abilene,0,1,
Abimael,1,0,
Abisai,1,1,
Abner,1,0,
Abraham,1,1,"Abe,Avi,Avraham,Braam,Bram"
Abram,1,0,Abraam
Abrar,1,1,
Abril,1,1,
Abubakar,1,0,
Acacia,0,1,
Ace,1,1,"Aca,Aco,Aleksandar,Sasho,Saško,Sašo"
Achilles,1,0,Achilleus
Ada,1,1,"Aada,Adalheidis,Adaline,Adalyn,Adalynn,Addilyn,Adela,Adelais,Adelajda,Adelheid,Adelia,Adelina,Adeline,Adella,Adelyn,Adelynn,Alda"
Adah,0,1,
Adair,1,1,
Adalberto,1,0,Alberto
Adalia,0,1,Adlai
Adaline,0,1,"Ada,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Aline"
Adalyn,0,1,"Adaline,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Alene,Aline"
Adalynn,0,1,"Adaline,Adalyn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Alene,Aline"
Adam,1,1,
Adan,1,1,
Adanna,0,1,
Adara,0,1,
Addie,1,1,"Adaline,Adalyn,Adalynn,Addilyn,Addison,Addy,Addyson,Adela,Adelaide,Adelia,Adeline,Adella,Adelyn,Adelynn,Alene,Aline,Della"
Addilyn,1,1,"Adaline,Adalyn,Adalynn,Addie,Addy,Adeline,Adelyn,Adelynn,Alene,Aline"
Addison,1,1,"Addie,Addy,Addyson"
Addy,1,1,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addison,Addyson,Adela,Adelaide,Adelia,Adeline,Adella,Adelyn,Adelynn,Alene,Aline,Della"
Addyson,1,1,"Addie,Addison,Addy"
Adel,1,1,Adil
Adela,0,1,"Ada,Adelia,Adelina,Adelita,Adella,Alda,Delia,Della"
Adelaida,0,1,
Adelaide,0,1,"Addie,Addy,Della"
Adelbert,1,0,"Adalbert,Albert,Albrecht,Elbert"
Adele,1,1,Adelle
Adelia,0,1,"Adela,Adelita,Adella,Delia,Della"
Adelie,0,1,
Adelina,0,1,"Ada,Adela,Alda,Alina,Aline"
Adeline,1,1,"Ada,Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adelyn,Adelynn,Alene,Aline,Lina,Line,Lyna"
Adelita,0,1,"Adela,Adelia,Adelina"
Adella,0,1,"Adela,Adelia,Delia,Della"
Adelle,0,1,Adele
Adelyn,1,1,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelynn,Alene,Aline"
